"id","figuretype","anime","FigureName","Rarity","Price","Rating","created_at","imgLink","character","size","material","manufacturer","safeforwork","second-name"
"7","3","2","Nezuko Kamado Xross Link","","$","","2023-11-30 18:42:16.718739+00","https://i.ibb.co/X29DbSd/Screen-Shot-2023-11-30-at-1-40-27-PM.png","Nezuko Kamado","7.9in","PVC","Sega","true","Prize Figure"
"8","3","2","Tanjiro Kamado Corps Uniform Ver","","$","","2023-11-30 18:43:40.173497+00","https://i.ibb.co/yW4Njmz/Screen-Shot-2023-11-30-at-1-40-05-PM.png","Tanjiro Kamado","6.3in","ABS & PVC","Banpresto","true","Demon Slayer Prize Figure "
"9","4","2","Kyojuro Rengoku Flame Breathing","","$$$$","","2023-11-30 18:45:52.103432+00","https://i.ibb.co/1bJZFVm/Screen-Shot-2023-11-30-at-1-38-21-PM.png","Kyojuro Rengoku","10in","PVC, ABS","Aniplex","true","soteric Art Ninth Form Ver Demon Slayer Figure"
"11","3","8","Rem Figure (Birthday Purple Lingerie Ver)","","$$$","","2023-12-14 16:51:39.278029+00","https://lficfocmtbjprxkdpjay.supabase.co/storage/v1/object/sign/weebtrade-imgs/Screen%20Shot%202023-12-13%20at%202.22.43%20PM.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJ3ZWVidHJhZGUtaW1ncy9TY3JlZW4gU2hvdCAyMDIzLTEyLTEzIGF0IDIuMjIuNDMgUE0ucG5nIiwiaWF0IjoxNzAyNTcyNTU0LCJleHAiOjIzMzMyOTI1NTR9.J7YZ90fcpadEOiwzkbTH-bfElNx-LGCw9lLDEbP-ISI&t=2023-12-14T16%3A49%3A14.334Z","Rem","4.7in","PVC, ABS","Kadokawa","true",""
"12","4","3","Himiko Toga Plush Villiam Ver","","$$$$","","2023-12-14 16:57:00.594493+00","https://lficfocmtbjprxkdpjay.supabase.co/storage/v1/object/sign/weebtrade-imgs/Screen%20Shot%202023-12-14%20at%2011.53.28%20AM.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJ3ZWVidHJhZGUtaW1ncy9TY3JlZW4gU2hvdCAyMDIzLTEyLTE0IGF0IDExLjUzLjI4IEFNLnBuZyIsImlhdCI6MTcwMjU3MjkzMywiZXhwIjoyMzMzMjkyOTMzfQ.3CHp-dMhz-PVTPHHhLDlr9XWwE7feQN9K1zAC0lnZIY&t=2023-12-14T16%3A55%3A33.324Z","Himiko Toga","","","","",""
"13","4","7","Zero Two for my darling ver","","$$$$","","2023-12-14 16:59:02.773084+00","https://lficfocmtbjprxkdpjay.supabase.co/storage/v1/object/sign/weebtrade-imgs/Screen%20Shot%202023-12-14%20at%2011.55.17%20AM.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJ3ZWVidHJhZGUtaW1ncy9TY3JlZW4gU2hvdCAyMDIzLTEyLTE0IGF0IDExLjU1LjE3IEFNLnBuZyIsImlhdCI6MTcwMjU3MzA3MCwiZXhwIjoyMzMzMjkzMDcwfQ.9qgGSF_WvdL2wLevnyr2Bcfm0nFWezjHKmH25zY9mtk&t=2023-12-14T16%3A57%3A50.785Z","Zero Two","11in","PVC, ABS","Good Smile Company","true","DARLING in the FRANXX Figure"
"2","3","6","Loid Forger Party Ver","","$$","","2023-11-23 01:52:59.98168+00","https://i.ibb.co/hZtfZKY/Screen-Shot-2023-11-21-at-1-53-11-PM.png","Loid Forger","7.8in","PVC","Sega","true",""
"6","4","4","Satoru Gojo 1/7 Scale Figure","","$$$","","2023-11-26 19:47:54.98215+00","https://i.ibb.co/wNc8K3p/Screen-Shot-2023-11-26-at-2-44-04-PM.png","Satoru Gojo","","","","true",""
"5","4","4","Ryomen Sukuna King of Curses","","$$$","","2023-11-26 19:47:12.693017+00","https://i.ibb.co/fdfSRXY/Screen-Shot-2023-11-26-at-2-42-14-PM.png","Ryomen Sukuna","","","","true",""
"3","4","6","Yor Forger Family Ver","","$$$","","2023-11-23 01:53:28.514393+00","https://i.ibb.co/ncB5PvP/Screen-Shot-2023-11-21-at-1-53-40-PM.png","Yor Forger","9.5in","PVC, ABS","F:NEX","true",""
"1","3","6","Anya & Bond Forger Breaktime","","$","","2023-11-23 01:52:25.673618+00","https://i.ibb.co/1KYn1DJ/Screen-Shot-2023-11-21-at-1-52-26-PM.png","Anya Forger","","","","true",""
"4","3","4","Kento Nanami Prize Figure","","$","","2023-11-26 19:45:46.501676+00","https://i.ibb.co/f4xnfVw/Screen-Shot-2023-11-26-at-2-40-59-PM.png","Kento Nanami","","","","true",""
"10","3","7","Zero Two","","$$$$","","2023-12-06 21:52:49.03373+00","https://i.ibb.co/98QTrjw/Screen-Shot-2023-12-06-at-1-01-18-PM.png","Zero Two","1/7th scale","PVC/ABS","Max Factory","false",""
"14","4","2","Nezuko Kamado Demon Form","","$$$","","2023-12-28 15:51:42.552834+00","https://lficfocmtbjprxkdpjay.supabase.co/storage/v1/object/sign/weebtrade-imgs/Screen%20Shot%202023-12-28%20at%209.24.29%20AM.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJ3ZWVidHJhZGUtaW1ncy9TY3JlZW4gU2hvdCAyMDIzLTEyLTI4IGF0IDkuMjQuMjkgQU0ucG5nIiwiaWF0IjoxNzAzNzc4NTY4LCJleHAiOjIwMTkxMzg1Njh9.rD93pRghh5PX-nm_42WoMsZXZzd_V7W5y5suvCE3kQg&t=2023-12-28T15%3A49%3A28.656Z","Nezuko Kamado","4.8in","PVC, ABS","Aniplex","true","Advancing Ver Demon Slayer Kimetsu no Yaiba Figure"
